,zip,num_tracts,percent_ej
156,1038,1,0.0
157,1039,2,0.0
158,1040,11,63.63636363636363
159,1050,2,0.0
160,1053,1,0.0
161,1054,1,0.0
162,1056,4,0.0
163,1057,5,20.0
164,1060,7,14.285714285714286
165,1062,5,20.0
166,1063,1,0.0
167,1066,1,0.0
168,1068,1,0.0
169,1069,4,25.0
170,1070,1,0.0
171,1071,1,0.0
172,1072,1,0.0
173,1073,1,0.0
174,1074,1,0.0
175,1075,5,0.0
176,1077,2,0.0
177,1079,1,0.0
178,1080,1,100.0
179,1081,1,0.0
180,1082,3,33.333333333333336
181,1083,1,0.0
182,1084,1,0.0
183,1085,9,0.0
184,1086,1,0.0
185,1088,1,0.0
186,1089,6,33.333333333333336
187,1092,1,0.0
188,1093,1,0.0
189,1094,1,0.0
190,1095,3,33.333333333333336
191,1096,2,0.0
192,1097,1,0.0
193,1098,1,0.0
194,1103,4,100.0
195,1104,8,75.0
196,1105,7,100.0
197,1106,4,25.0
198,1107,6,100.0
199,1108,7,85.71428571428571
200,1109,8,75.0
201,1118,3,33.333333333333336
202,1119,5,60.0
203,1128,2,50.0
204,1129,5,40.0
205,1151,3,66.66666666666667
206,1199,1,100.0
207,1201,15,26.666666666666668
208,1220,4,0.0
209,1222,1,0.0
210,1223,1,0.0
211,1224,1,0.0
212,1225,1,0.0
213,1226,3,0.0
214,1229,1,0.0
215,1230,5,0.0
216,1235,3,0.0
217,1236,3,0.0
218,1237,2,0.0
219,1238,3,0.0
220,1240,4,0.0
221,1242,1,0.0
222,1243,1,0.0
223,1244,1,0.0
224,1245,3,0.0
225,1247,6,33.333333333333336
226,1253,1,0.0
227,1254,2,0.0
228,1255,1,0.0
229,1256,1,0.0
230,1257,1,0.0
231,1258,1,0.0
232,1259,1,0.0
233,1260,2,0.0
234,1262,1,0.0
235,1264,1,0.0
236,1266,3,0.0
237,1267,3,0.0
238,1270,1,0.0
239,1301,6,33.333333333333336
240,1330,1,0.0
241,1331,4,0.0
242,1337,1,0.0
243,1338,1,0.0
244,1339,2,0.0
245,1340,1,0.0
246,1341,1,0.0
247,1342,1,0.0
248,1343,1,0.0
249,1344,1,0.0
250,1346,1,0.0
251,1347,1,0.0
252,1349,2,0.0
253,1350,1,0.0
254,1351,1,0.0
255,1354,1,0.0
256,1355,1,0.0
257,1360,1,0.0
258,1364,4,0.0
259,1366,2,0.0
260,1367,1,0.0
261,1368,2,0.0
262,1370,4,0.0
263,1373,2,0.0
264,1375,1,0.0
265,1376,2,50.0
266,1378,1,0.0
267,1379,1,0.0
268,1420,11,36.36363636363637
269,1430,2,0.0
270,1431,1,0.0
271,1432,1,0.0
272,1434,3,0.0
273,1436,2,0.0
274,1438,1,0.0
275,1440,7,14.285714285714286
276,1450,2,0.0
277,1451,1,0.0
278,1452,1,0.0
279,1453,10,10.0
280,1460,2,0.0
281,1462,2,0.0
