"GEO_ID","P001001","NAME"
"8600000US02135","42780","ZCTA5 02135"
"8600000US02136","28488","ZCTA5 02136"
"8600000US02138","36314","ZCTA5 02138"
"8600000US02139","36349","ZCTA5 02139"
"8600000US02140","17607","ZCTA5 02140"
"8600000US02141","11910","ZCTA5 02141"
"8600000US02142","3141","ZCTA5 02142"
"8600000US02143","24514","ZCTA5 02143"
"8600000US02144","23891","ZCTA5 02144"
"8600000US02145","25439","ZCTA5 02145"
"8600000US02148","59503","ZCTA5 02148"
"8600000US02149","41550","ZCTA5 02149"
"8600000US02150","35124","ZCTA5 02150"
"8600000US02151","51808","ZCTA5 02151"
"8600000US02152","17497","ZCTA5 02152"
"8600000US02155","57964","ZCTA5 02155"
"8600000US02163","2582","ZCTA5 02163"
"8600000US02169","55055","ZCTA5 02169"
"8600000US02170","19505","ZCTA5 02170"
"8600000US02171","17711","ZCTA5 02171"
"8600000US02176","26983","ZCTA5 02176"
"8600000US02180","21437","ZCTA5 02180"
"8600000US02184","35744","ZCTA5 02184"
"8600000US02186","27003","ZCTA5 02186"
"8600000US02188","14608","ZCTA5 02188"
"8600000US02189","14559","ZCTA5 02189"
"8600000US02190","16119","ZCTA5 02190"
"8600000US02191","8457","ZCTA5 02191"
"8600000US02199","1146","ZCTA5 02199"
"8600000US02203","0","ZCTA5 02203"
"8600000US02210","2090","ZCTA5 02210"
"8600000US02215","26125","ZCTA5 02215"
"8600000US02301","61025","ZCTA5 02301"
"8600000US02302","32741","ZCTA5 02302"
"8600000US02322","4356","ZCTA5 02322"
"8600000US02324","26563","ZCTA5 02324"
"8600000US02330","11509","ZCTA5 02330"
"8600000US02332","15059","ZCTA5 02332"
"8600000US02333","13794","ZCTA5 02333"
"8600000US02338","7518","ZCTA5 02338"
"8600000US02339","13879","ZCTA5 02339"
"8600000US02341","10218","ZCTA5 02341"
"8600000US02343","10745","ZCTA5 02343"
"8600000US02346","23106","ZCTA5 02346"
"8600000US02347","10612","ZCTA5 02347"
"8600000US02351","16029","ZCTA5 02351"
"8600000US02356","12564","ZCTA5 02356"
"8600000US02357","1360","ZCTA5 02357"
"8600000US02359","17828","ZCTA5 02359"
"8600000US02360","56271","ZCTA5 02360"
"8600000US02364","12629","ZCTA5 02364"
"8600000US02366","197","ZCTA5 02366"
"8600000US02367","2820","ZCTA5 02367"
"8600000US02368","32158","ZCTA5 02368"
"8600000US02370","17489","ZCTA5 02370"
"8600000US02375","9188","ZCTA5 02375"
"8600000US02379","6916","ZCTA5 02379"
"8600000US02382","14489","ZCTA5 02382"
"8600000US02420","14052","ZCTA5 02420"
"8600000US02421","17342","ZCTA5 02421"
"8600000US02445","20679","ZCTA5 02445"
"8600000US02446","29311","ZCTA5 02446"
"8600000US02451","17426","ZCTA5 02451"
"8600000US02452","14238","ZCTA5 02452"
"8600000US02453","28968","ZCTA5 02453"
"8600000US02457","1432","ZCTA5 02457"
"8600000US02458","12131","ZCTA5 02458"
"8600000US02459","19095","ZCTA5 02459"
"8600000US02460","8742","ZCTA5 02460"
"8600000US02461","7059","ZCTA5 02461"
"8600000US02462","1554","ZCTA5 02462"
"8600000US02464","2953","ZCTA5 02464"
"8600000US02465","11710","ZCTA5 02465"
"8600000US02466","8096","ZCTA5 02466"
"8600000US02467","22491","ZCTA5 02467"
"8600000US02468","5273","ZCTA5 02468"
"8600000US02472","32014","ZCTA5 02472"
"8600000US02474","26312","ZCTA5 02474"
"8600000US02476","16532","ZCTA5 02476"
"8600000US02478","24664","ZCTA5 02478"
"8600000US02481","16244","ZCTA5 02481"
"8600000US02482","10306","ZCTA5 02482"
"8600000US02492","19931","ZCTA5 02492"
"8600000US02493","11261","ZCTA5 02493"
"8600000US02494","8955","ZCTA5 02494"
"8600000US02532","12690","ZCTA5 02532"
"8600000US02534","842","ZCTA5 02534"
"8600000US02535","1177","ZCTA5 02535"
"8600000US02536","19583","ZCTA5 02536"
"8600000US02537","6293","ZCTA5 02537"
"8600000US02538","3603","ZCTA5 02538"
"8600000US02539","4067","ZCTA5 02539"
"8600000US02540","8221","ZCTA5 02540"
"8600000US02542","1139","ZCTA5 02542"
"8600000US02543","635","ZCTA5 02543"
"8600000US02553","226","ZCTA5 02553"
"8600000US02554","9852","ZCTA5 02554"
"8600000US02556","3115","ZCTA5 02556"
"8600000US02557","4491","ZCTA5 02557"
"8600000US02558","2156","ZCTA5 02558"
"8600000US02559","3376","ZCTA5 02559"
"8600000US02561","539","ZCTA5 02561"
"8600000US02562","2977","ZCTA5 02562"
"8600000US02563","10359","ZCTA5 02563"
"8600000US02564","310","ZCTA5 02564"
"8600000US02568","4000","ZCTA5 02568"
"8600000US02571","10481","ZCTA5 02571"
"8600000US02575","2725","ZCTA5 02575"
"8600000US02576","3754","ZCTA5 02576"
"8600000US02584","10","ZCTA5 02584"
"8600000US02601","14089","ZCTA5 02601"
"8600000US02630","1850","ZCTA5 02630"
"8600000US02631","9679","ZCTA5 02631"
"8600000US02632","10742","ZCTA5 02632"
"8600000US02633","3884","ZCTA5 02633"
"8600000US02635","3296","ZCTA5 02635"
"8600000US02637","253","ZCTA5 02637"
"8600000US02638","3207","ZCTA5 02638"
"8600000US02639","2875","ZCTA5 02639"
"8600000US02641","532","ZCTA5 02641"
"8600000US02642","4937","ZCTA5 02642"
"8600000US02643","26","ZCTA5 02643"
"8600000US02644","3955","ZCTA5 02644"
"8600000US02645","9663","ZCTA5 02645"
"8600000US02646","1676","ZCTA5 02646"
"8600000US02647","129","ZCTA5 02647"
"8600000US02648","7301","ZCTA5 02648"
"8600000US02649","14006","ZCTA5 02649"
"8600000US02650","848","ZCTA5 02650"
"8600000US02651","16","ZCTA5 02651"
"8600000US02652","1175","ZCTA5 02652"
"8600000US02653","5911","ZCTA5 02653"
"8600000US02655","3518","ZCTA5 02655"
"8600000US02657","2942","ZCTA5 02657"
"8600000US02659","1108","ZCTA5 02659"
"8600000US02660","6261","ZCTA5 02660"
"8600000US02663","173","ZCTA5 02663"
"8600000US02664","9371","ZCTA5 02664"
"8600000US02666","828","ZCTA5 02666"
"8600000US02667","2580","ZCTA5 02667"
"8600000US02668","3278","ZCTA5 02668"
"8600000US02669","285","ZCTA5 02669"
"8600000US02670","1307","ZCTA5 02670"
"8600000US02671","1023","ZCTA5 02671"
"8600000US02672","180","ZCTA5 02672"
"8600000US02673","8402","ZCTA5 02673"
"8600000US02675","6577","ZCTA5 02675"
"8600000US02702","4125","ZCTA5 02702"
"8600000US02703","43593","ZCTA5 02703"
"8600000US02713","52","ZCTA5 02713"
"8600000US02715","3123","ZCTA5 02715"
"8600000US02717","4745","ZCTA5 02717"
